tagX,tagY,power,time
1734935407,2014326932,+AC0-94.0,1509499483
1734935407,2014326932,+AC0-94.0,1509499484
1734935407,2014326932,+AC0-94.0,1509499484
1734935407,2014326932,+AC0-94.0,1509499484
1734935407,2014326932,+AC0-94.0,1509499484
1734935407,2014326932,+AC0-94.0,1509499484
1734935407,2014326932,+AC0-94.5,1509499485
1734935407,2014326932,+AC0-94.5,1509499485
1734935407,2014326932,+AC0-94.5,1509499485
1734935407,2014326932,+AC0-94.5,1509499485
1734935407,2014326932,+AC0-91.7,1509499485
1734935407,2014326932,+AC0-91.7,1509499486
1734935407,2014326932,+AC0-90.0,1509499486
1734935407,2014326932,+AC0-90.0,1509499486
1734935407,2014326932,+AC0-90.0,1509499486
1734935407,2014326932,+AC0-90.0,1509499486
1734935407,2014326932,+AC0-90.0,1509499487
1734935407,2014326932,+AC0-90.0,1509499487
1734935407,2014326932,+AC0-90.0,1509499487
1734935407,2014326932,+AC0-90.0,1509499487
1734935407,2014326932,+AC0-90.0,1509499487
1734935407,2014326932,+AC0-88.6,1509499488
1734935407,2014326932,+AC0-88.6,1509499488
1734935407,2014326932,+AC0-88.6,1509499488
1734935407,2014326932,+AC0-88.6,1509499488
1734935407,2014326932,+AC0-88.6,1509499488
1734935407,2014326932,+AC0-88.6,1509499489
1734935407,2014326932,+AC0-88.6,1509499489
1734935407,2014326932,+AC0-88.6,1509499489
1734935407,2014326932,+AC0-88.6,1509499489
1734935407,2014326932,+AC0-88.6,1509499489
1734935407,2014326932,+AC0-88.6,1509499490
1734935407,2014326932,+AC0-88.6,1509499490
1734935407,2014326932,+AC0-88.6,1509499490
1734935407,2014326932,+AC0-88.6,1509499490
1734935407,2014326932,+AC0-88.6,1509499490
1734935407,2014326932,+AC0-88.6,1509499491
1734935407,2014326932,+AC0-88.6,1509499491
1734935407,2014326932,+AC0-87.0,1509499491
1734935407,2014326932,+AC0-87.0,1509499491
1734935407,2014326932,+AC0-87.0,1509499491
1734935407,2014326932,+AC0-87.2,1509499492
1734935407,2014326932,+AC0-87.2,1509499492
1734935407,2014326932,+AC0-87.2,1509499492
1734935407,2014326932,+AC0-87.2,1509499492
1734935407,2014326932,+AC0-87.2,1509499492
1734935407,2014326932,+AC0-87.2,1509499493
1734935407,2014326932,+AC0-87.2,1509499493
1734935407,2014326932,+AC0-88.1,1509499493
1734935407,2014326932,+AC0-88.1,1509499493
1734935407,2014326932,+AC0-88.1,1509499493
1734935407,2014326932,+AC0-87.4,1509499494
1734935407,2014326932,+AC0-87.4,1509499494
1734935407,2014326932,+AC0-87.4,1509499494
1734935407,2014326932,+AC0-87.4,1509499494
1734935407,2014326932,+AC0-87.4,1509499494
1734935407,2014326932,+AC0-87.4,1509499495
1734935407,2014326932,+AC0-88.2,1509499495
1734935407,2041538831,+AC0-95.0,1509499495
1734935407,2014326932,+AC0-88.2,1509499495
1734935407,2041538831,+AC0-95.0,1509499495
1734935407,2014326932,+AC0-88.2,1509499495
1734935407,2041538831,+AC0-95.0,1509499495
1734935407,2014326932,+AC0-88.2,1509499495
1734935407,2041538831,+AC0-95.0,1509499495
2014326932,2041538831,+AC0-87.0,1509499495
1734935407,2014326932,+AC0-87.6,1509499496
1734935407,2041538831,+AC0-95.0,1509499496
2014326932,2041538831,+AC0-87.0,1509499496
1734935407,2014326932,+AC0-87.6,1509499496
1734935407,2041538831,+AC0-95.0,1509499496
2014326932,2041538831,+AC0-87.0,1509499496
1734935407,2014326932,+AC0-87.6,1509499496
1734935407,2041538831,+AC0-95.0,1509499496
2014326932,2041538831,+AC0-87.0,1509499496
1734935407,2014326932,+AC0-87.6,1509499496
1734935407,2041538831,+AC0-95.0,1509499496
2014326932,2041538831,+AC0-87.0,1509499496
1734935407,2014326932,+AC0-87.6,1509499496
1734935407,2041538831,+AC0-95.0,1509499496
2014326932,2041538831,+AC0-87.0,1509499496
1734935407,2014326932,+AC0-88.1,1509499497
1734935407,2041538831,+AC0-95.0,1509499497
2014326932,2041538831,+AC0-87.0,1509499497
1734935407,2014326932,+AC0-88.1,1509499497
1734935407,2041538831,+AC0-95.0,1509499497
2014326932,2041538831,+AC0-87.0,1509499497
1734935407,2014326932,+AC0-88.1,1509499497
1734935407,2041538831,+AC0-95.0,1509499497
2014326932,2041538831,+AC0-87.0,1509499497
1734935407,2014326932,+AC0-88.1,1509499497
1734935407,2041538831,+AC0-95.0,1509499497
2014326932,2041538831,+AC0-87.0,1509499497
1734935407,2014326932,+AC0-87.6,1509499497
1734935407,2041538831,+AC0-95.0,1509499497
2014326932,2041538831,+AC0-87.0,1509499497
1734935407,2014326932,+AC0-87.6,1509499498
1734935407,2041538831,+AC0-95.0,1509499498
2014326932,2041538831,+AC0-87.0,1509499498
1734935407,2014326932,+AC0-87.6,1509499498
1734935407,2041538831,+AC0-95.0,1509499498
2014326932,2041538831,+AC0-87.0,1509499498
1734935407,2014326932,+AC0-87.6,1509499498
1734935407,2041538831,+AC0-95.0,1509499498
2014326932,2041538831,+AC0-87.0,1509499498
1734935407,2014326932,+AC0-87.6,1509499498
1734935407,2041538831,+AC0-95.0,1509499498
2014326932,2041538831,+AC0-87.0,1509499498
1734935407,2014326932,+AC0-87.6,1509499498
1734935407,2041538831,+AC0-95.0,1509499498
2014326932,2041538831,+AC0-87.0,1509499498
1734935407,2014326932,+AC0-88.3,1509499499
1734935407,2041538831,+AC0-95.0,1509499499
2014326932,2041538831,+AC0-87.0,1509499499
1734935407,2014326932,+AC0-88.3,1509499499
1734935407,2041538831,+AC0-95.0,1509499499
2014326932,2041538831,+AC0-87.0,1509499499
1734935407,2014326932,+AC0-88.3,1509499499
1734935407,2041538831,+AC0-95.0,1509499499
2014326932,2041538831,+AC0-87.0,1509499499
1734935407,2014326932,+AC0-88.3,1509499499
1734935407,2041538831,+AC0-95.0,1509499499
2014326932,2041538831,+AC0-87.0,1509499499
1734935407,2014326932,+AC0-88.3,1509499499
1734935407,2041538831,+AC0-95.0,1509499499
2014326932,2041538831,+AC0-87.0,1509499499
1734935407,2014326932,+AC0-88.3,1509499500
1734935407,2041538831,+AC0-95.0,1509499500
2014326932,2041538831,+AC0-87.0,1509499500
1734935407,2014326932,+AC0-88.3,1509499500
1734935407,2041538831,+AC0-95.0,1509499500
2014326932,2041538831,+AC0-87.0,1509499500
1734935407,2014326932,+AC0-88.3,1509499500
1734935407,2041538831,+AC0-95.0,1509499500
2014326932,2041538831,+AC0-87.0,1509499500
1734935407,2014326932,+AC0-88.3,1509499500
1734935407,2041538831,+AC0-95.0,1509499500
2014326932,2041538831,+AC0-87.0,1509499500
1734935407,2014326932,+AC0-88.3,1509499500
1734935407,2041538831,+AC0-95.0,1509499500
2014326932,2041538831,+AC0-87.0,1509499500
1734935407,2014326932,+AC0-88.3,1509499501
1734935407,2041538831,+AC0-95.0,1509499501
2014326932,2041538831,+AC0-87.0,1509499501
1734935407,2014326932,+AC0-88.3,1509499501
1734935407,2041538831,+AC0-95.0,1509499501
2014326932,2041538831,+AC0-87.0,1509499501
1734935407,2014326932,+AC0-88.3,1509499501
1734935407,2041538831,+AC0-95.0,1509499501
2014326932,2041538831,+AC0-87.0,1509499501
1734935407,2014326932,+AC0-86.1,1509499501
1734935407,2041538831,+AC0-95.0,1509499501
2014326932,2041538831,+AC0-87.0,1509499501
1734935407,2014326932,+AC0-86.1,1509499501
1734935407,2041538831,+AC0-95.0,1509499501
2014326932,2041538831,+AC0-87.0,1509499501
1734935407,2014326932,+AC0-87.2,1509499502
1734935407,2041538831,+AC0-95.0,1509499502
2014326932,2041538831,+AC0-87.0,1509499502
1734935407,2014326932,+AC0-87.2,1509499502
1734935407,2041538831,+AC0-95.0,1509499502
2014326932,2041538831,+AC0-87.0,1509499502
1734935407,2014326932,+AC0-87.2,1509499502
1734935407,2041538831,+AC0-95.0,1509499502
2014326932,2041538831,+AC0-87.0,1509499502
1734935407,2014326932,+AC0-85.4,1509499502
1734935407,2041538831,+AC0-95.0,1509499502
2014326932,2041538831,+AC0-87.0,1509499502
1734935407,2014326932,+AC0-85.4,1509499502
1734935407,2041538831,+AC0-95.0,1509499502
2014326932,2041538831,+AC0-87.0,1509499502
1734935407,2014326932,+AC0-84.8,1509499503
1734935407,2041538831,+AC0-95.0,1509499503
2014326932,2041538831,+AC0-87.0,1509499503
1734935407,2014326932,+AC0-84.8,1509499503
1734935407,2041538831,+AC0-95.0,1509499503
2014326932,2041538831,+AC0-87.0,1509499503
1734935407,2014326932,+AC0-85.6,1509499503
1734935407,2041538831,+AC0-95.0,1509499503
2014326932,2041538831,+AC0-87.0,1509499503
1734935407,2014326932,+AC0-85.6,1509499503
1734935407,2041538831,+AC0-95.0,1509499503
2014326932,2041538831,+AC0-87.0,1509499503
1734935407,2014326932,+AC0-85.6,1509499503
1734935407,2041538831,+AC0-95.0,1509499503
2014326932,2041538831,+AC0-87.0,1509499503
1734935407,2014326932,+AC0-84.0,1509499504
1734935407,2041538831,+AC0-95.0,1509499504
2014326932,2041538831,+AC0-87.0,1509499504
1734935407,2014326932,+AC0-84.0,1509499504
1734935407,2041538831,+AC0-95.0,1509499504
2014326932,2041538831,+AC0-87.0,1509499504
1734935407,2014326932,+AC0-84.0,1509499504
1734935407,2041538831,+AC0-95.0,1509499504
2014326932,2041538831,+AC0-87.0,1509499504
1734935407,2014326932,+AC0-84.0,1509499504
1734935407,2041538831,+AC0-95.0,1509499504
2014326932,2041538831,+AC0-87.0,1509499504
1734935407,2014326932,+AC0-84.0,1509499504
1734935407,2041538831,+AC0-95.0,1509499504
2014326932,2041538831,+AC0-87.0,1509499504
1734935407,2014326932,+AC0-84.0,1509499505
1734935407,2041538831,+AC0-95.0,1509499505
2014326932,2041538831,+AC0-87.0,1509499505
1734935407,2014326932,+AC0-84.0,1509499505
1734935407,2041538831,+AC0-95.0,1509499505
2014326932,2041538831,+AC0-87.0,1509499505
1734935407,2014326932,+AC0-84.0,1509499505
1734935407,2041538831,+AC0-95.0,1509499505
2014326932,2041538831,+AC0-87.0,1509499505
1734935407,2014326932,+AC0-84.0,1509499505
1734935407,2041538831,+AC0-95.0,1509499505
2014326932,2041538831,+AC0-87.0,1509499505
1734935407,2014326932,+AC0-84.0,1509499505
1734935407,2041538831,+AC0-95.0,1509499505
2014326932,2041538831,+AC0-87.0,1509499505
1734935407,2014326932,+AC0-81.8,1509499506
1734935407,2041538831,+AC0-95.0,1509499506
1734935407,2014326932,+AC0-81.8,1509499506
1734935407,2041538831,+AC0-95.0,1509499506
1734935407,2014326932,+AC0-83.5,1509499506
1734935407,2041538831,+AC0-95.0,1509499506
1734935407,2014326932,+AC0-83.5,1509499506
1734935407,2041538831,+AC0-95.0,1509499506
1734935407,2014326932,+AC0-83.5,1509499506
1734935407,2041538831,+AC0-95.0,1509499506
1734935407,2014326932,+AC0-82.4,1509499507
1734935407,2041538831,+AC0-95.0,1509499507
1734935407,2014326932,+AC0-82.4,1509499507
1734935407,2041538831,+AC0-95.0,1509499507
1734935407,2014326932,+AC0-82.4,1509499507
1734935407,2041538831,+AC0-95.0,1509499507
1734935407,2014326932,+AC0-82.4,1509499507
1734935407,2041538831,+AC0-95.0,1509499507
1734935407,2014326932,+AC0-82.4,1509499507
1734935407,2041538831,+AC0-95.0,1509499507
1734935407,2014326932,+AC0-82.0,1509499508
1734935407,2041538831,+AC0-95.0,1509499508
1734935407,2014326932,+AC0-82.0,1509499508
1734935407,2041538831,+AC0-95.0,1509499508
1734935407,2014326932,+AC0-82.0,1509499508
1734935407,2041538831,+AC0-95.0,1509499508
1734935407,2014326932,+AC0-82.0,1509499508
1734935407,2041538831,+AC0-95.0,1509499508
1734935407,2014326932,+AC0-82.0,1509499508
1734935407,2041538831,+AC0-95.0,1509499508
1734935407,2014326932,+AC0-82.0,1509499509
1734935407,2041538831,+AC0-95.0,1509499509
1734935407,2014326932,+AC0-82.0,1509499509
1734935407,2041538831,+AC0-95.0,1509499509
1734935407,2014326932,+AC0-82.0,1509499509
1734935407,2041538831,+AC0-95.0,1509499509
1734935407,2014326932,+AC0-83.2,1509499509
1734935407,2041538831,+AC0-95.0,1509499509
1734935407,2014326932,+AC0-83.7,1509499509
1734935407,2041538831,+AC0-95.0,1509499509
1734935407,2014326932,+AC0-83.7,1509499510
1734935407,2041538831,+AC0-95.0,1509499510
1734935407,2014326932,+AC0-83.7,1509499510
1734935407,2041538831,+AC0-95.0,1509499510
1734935407,2014326932,+AC0-83.7,1509499510
1734935407,2041538831,+AC0-95.0,1509499510
1734935407,2014326932,+AC0-83.7,1509499510
1734935407,2041538831,+AC0-95.0,1509499510
1734935407,2014326932,+AC0-84.7,1509499510
1734935407,2041538831,+AC0-95.0,1509499510
1734935407,2014326932,+AC0-84.7,1509499511
1734935407,2041538831,+AC0-95.0,1509499511
1734935407,2014326932,+AC0-84.7,1509499511
1734935407,2041538831,+AC0-95.0,1509499511
1734935407,2014326932,+AC0-85.6,1509499511
1734935407,2041538831,+AC0-95.0,1509499511
1734935407,2014326932,+AC0-85.6,1509499511
1734935407,2041538831,+AC0-95.0,1509499511
1734935407,2014326932,+AC0-85.6,1509499511
1734935407,2041538831,+AC0-95.0,1509499511
1734935407,2014326932,+AC0-88.6,1509499512
1734935407,2041538831,+AC0-95.0,1509499512
1734935407,2014326932,+AC0-88.6,1509499512
1734935407,2041538831,+AC0-95.0,1509499512
1734935407,2014326932,+AC0-88.6,1509499512
1734935407,2041538831,+AC0-95.0,1509499512
1734935407,2014326932,+AC0-88.6,1509499512
1734935407,2041538831,+AC0-95.0,1509499512
1734935407,2014326932,+AC0-88.6,1509499512
1734935407,2041538831,+AC0-95.0,1509499512
1734935407,2014326932,+AC0-90.6,1509499513
1734935407,2014326932,+AC0-90.6,1509499513
1734935407,2014326932,+AC0-90.6,1509499513
1734935407,2014326932,+AC0-90.6,1509499513
1734935407,2014326932,+AC0-90.6,1509499513
1734935407,2041538831,+AC0-96.0,1509499513
1734935407,2014326932,+AC0-90.7,1509499514
1734935407,2041538831,+AC0-95.5,1509499514
1734935407,2014326932,+AC0-90.7,1509499514
1734935407,2041538831,+AC0-95.5,1509499514
1734935407,2014326932,+AC0-90.7,1509499514
1734935407,2041538831,+AC0-95.5,1509499514
1734935407,2014326932,+AC0-90.7,1509499514
1734935407,2041538831,+AC0-95.5,1509499514
1734935407,2014326932,+AC0-90.7,1509499514
1734935407,2041538831,+AC0-95.5,1509499514
1734935407,2014326932,+AC0-90.7,1509499515
1734935407,2041538831,+AC0-95.5,1509499515
1734935407,2014326932,+AC0-90.7,1509499515
1734935407,2041538831,+AC0-95.5,1509499515
1734935407,2014326932,+AC0-90.7,1509499515
1734935407,2041538831,+AC0-95.5,1509499515
1734935407,2014326932,+AC0-90.7,1509499515
1734935407,2041538831,+AC0-95.5,1509499515
1734935407,2014326932,+AC0-90.7,1509499515
1734935407,2041538831,+AC0-95.5,1509499515
1734935407,2014326932,+AC0-90.7,1509499516
1734935407,2041538831,+AC0-95.5,1509499516
1734935407,2014326932,+AC0-90.7,1509499516
1734935407,2041538831,+AC0-95.5,1509499516
1734935407,2014326932,+AC0-90.7,1509499516
1734935407,2041538831,+AC0-95.3,1509499516
1734935407,2014326932,+AC0-90.7,1509499516
1734935407,2041538831,+AC0-95.3,1509499516
1734935407,2014326932,+AC0-90.7,1509499516
1734935407,2041538831,+AC0-95.3,1509499516
1734935407,2014326932,+AC0-90.4,1509499517
1734935407,2041538831,+AC0-95.3,1509499517
1734935407,2014326932,+AC0-90.4,1509499517
1734935407,2041538831,+AC0-95.3,1509499517
1734935407,2014326932,+AC0-90.4,1509499517
1734935407,2041538831,+AC0-95.3,1509499517
1734935407,2014326932,+AC0-90.4,1509499517
1734935407,2041538831,+AC0-95.3,1509499517
1734935407,2014326932,+AC0-90.4,1509499517
1734935407,2041538831,+AC0-95.3,1509499517
1734935407,2014326932,+AC0-90.4,1509499518
1734935407,2041538831,+AC0-95.3,1509499518
1734935407,2014326932,+AC0-90.4,1509499518
1734935407,2041538831,+AC0-95.3,1509499518
1734935407,2014326932,+AC0-90.4,1509499518
1734935407,2041538831,+AC0-95.3,1509499518
1734935407,2014326932,+AC0-90.4,1509499518
1734935407,2041538831,+AC0-95.3,1509499518
1734935407,2014326932,+AC0-90.4,1509499518
1734935407,2041538831,+AC0-95.3,1509499518
1734935407,2014326932,+AC0-90.4,1509499519
1734935407,2041538831,+AC0-95.3,1509499519
1734935407,2014326932,+AC0-90.4,1509499519
1734935407,2041538831,+AC0-95.2,1509499519
1734935407,2014326932,+AC0-90.4,1509499519
1734935407,2041538831,+AC0-95.2,1509499519
1734935407,2014326932,+AC0-90.4,1509499519
1734935407,2041538831,+AC0-95.2,1509499519
1734935407,2014326932,+AC0-90.4,1509499519
1734935407,2041538831,+AC0-95.2,1509499519
1734935407,2014326932,+AC0-92.7,1509499520
1734935407,2041538831,+AC0-95.2,1509499520
1734935407,2014326932,+AC0-92.7,1509499520
1734935407,2041538831,+AC0-95.2,1509499520
1734935407,2014326932,+AC0-92.7,1509499520
1734935407,2041538831,+AC0-95.2,1509499520
