1734935407	2014326932	1	20
1734935407	2014326932	24	53
1734935407	2014326932	35	139
1734935407	2014326932	138	252
1734935407	2014326932	160	279
1734935407	2014326932	192	324
1734935407	2014326932	214	367
1734935407	2014326932	270	280
1734935407	2041538831	7	28
1734935407	2041538831	29	119
1734935407	2041538831	141	261
1734935407	2041538831	192	331
1734935407	2041538831	214	361
1734935407	2041538831	224	376
2014326932	2041538831	23	94
2014326932	2041538831	94	223
2014326932	2041538831	155	332
2014326932	2041538831	204	398
2014326932	2041538831	235	466
2014326932	2041538831	278	301
